county_name_panel,county_code_raw,year,county_code_key,ssb12993_region_code,ssb12993_region_label,teacher_pls_total_teachers_n,teacher_pls_full_time_teachers_n,teacher_pls_full_time_share_pct,teacher_pls_share_long_teacher_education_pct,teacher_pls_share_short_teacher_education_pct,teacher_pls_share_with_teacher_education_pct,teacher_pls_share_with_other_educational_science_pct,teacher_pls_share_without_educational_science_pct,teacher_pls_share_upper_secondary_pct,teacher_pls_share_with_pedagogical_education_pct,ssb12919_region_code,ssb12919_region_label,teacher_all_total_teachers_n,teacher_all_share_with_teacher_education_pct,teacher_all_share_with_other_educational_science_pct,teacher_all_share_with_educational_science_pct,teacher_all_share_without_educational_science_pct,teacher_all_share_upper_secondary_or_less_pct
Sør-Trøndelag ( - 2017),16,2012,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2013,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2014,16,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag ( - 2017),16,2015,16,16,Sør-Trøndelag (-2017),4277.0,2784.0,65.09235445405658,7.926116436754735,69.30091185410335,77.22702829085807,12.228197334580313,5.868599485620763,4.676174888940846,89.4552256254384,EKA16,Sør-Trøndelag (-2017),4234.0,75.9565422768068,11.691072272083137,87.64761454888995,7.7468115257439765,4.605573925366084
Sør-Trøndelag ( - 2017),16,2016,16,16,Sør-Trøndelag (-2017),4344.0,2896.0,66.66666666666666,8.701657458563536,68.43922651933701,77.14088397790056,13.075506445672191,5.3406998158379375,4.442909760589318,90.21639042357275,EKA16,Sør-Trøndelag (-2017),4287.0,75.99720083974807,12.549568462794495,88.54676930254257,6.927921623512947,4.5253090739444835
Sør-Trøndelag ( - 2017),16,2017,16,16,Sør-Trøndelag (-2017),4435.0,3042.0,68.59075535512964,9.988726042841037,67.26042841037204,77.24915445321308,12.73957158962796,5.231116121758737,4.780157835400225,89.98872604284104,EKA16,Sør-Trøndelag (-2017),4373.0,76.35490509947405,12.188428996112508,88.54333409558656,6.928881774525497,4.527784129887949
Nordland - Nordlánnda,18,2007,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2008,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2009,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2010,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2011,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2012,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2013,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2014,18,,,,,,,,,,,,,,,,,,,,
Nordland - Nordlánnda,18,2015,18,18,Nordland - Nordlánnda,4018.0,2822.0,70.23394723743156,3.758088601294176,73.17073170731707,76.92882030861125,9.158785465405675,4.629168740666999,9.283225485316079,86.08760577401694,EKA18,Nordland - Nordlánnda,4009.0,75.23073085557496,8.730356697430782,83.96108755300574,6.560239461212272,9.47867298578199
Nordland - Nordlánnda,18,2016,18,18,Nordland - Nordlánnda,4149.0,2961.0,71.36659436008676,4.483007953723789,70.59532417449988,75.07833212822366,9.568570739937336,4.989154013015185,10.363943118823812,84.646902868161,EKA18,Nordland - Nordlánnda,4129.0,73.38338580770161,9.348510535238557,82.73189634294017,6.66020828287721,10.607895374182611
Nordland - Nordlánnda,18,2017,18,18,Nordland - Nordlánnda,4233.0,3061.0,72.31278053390031,5.362626978502244,70.2338766832034,75.59650366170565,9.142452161587526,4.913772738010867,10.347271438695959,84.73895582329317,EKA18,Nordland - Nordlánnda,4225.0,73.68047337278107,8.828402366863905,82.50887573964498,7.171597633136095,10.319526627218934
Nordland - Nordlánnda,18,2018,18,18,Nordland - Nordlánnda,4215.0,3089.0,73.2858837485172,6.785290628706998,68.56465005931199,75.34994068801898,9.8932384341637,4.911032028469751,9.845788849347569,85.24317912218268,EKA18,Nordland - Nordlánnda,4188.0,73.61509073543458,9.479465138490927,83.0945558739255,7.067812798471825,9.837631327602674
Nordland - Nordlánnda,18,2019,18,18,Nordland - Nordlánnda,4217.0,3087.0,73.20369931230732,7.564619397676073,68.34242352383211,75.90704292150818,9.271994308750296,5.1221247332226705,9.698838036518852,85.17903723025849,EKA18,Nordland - Nordlánnda,4164.0,74.08741594620557,8.909702209414025,82.9971181556196,7.204610951008646,9.798270893371757
Nordland - Nordlánnda,18,2020,18,18,Nordland - Nordlánnda,4100.0,3044.0,74.2439024390244,9.0,68.4390243902439,77.4390243902439,9.195121951219512,4.853658536585366,8.51219512195122,86.63414634146342,EKA18,Nordland - Nordlánnda,4067.0,77.28055077452667,8.507499385296287,85.78805015982297,4.425866732235063,9.786083107941971
Troms - Romsa ( - 2019),19,2007,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2008,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2009,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2010,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2011,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2012,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2013,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2014,19,,,,,,,,,,,,,,,,,,,,
Troms - Romsa ( - 2019),19,2015,19,19,Troms - Romsa (-2019),2674.0,1856.0,69.4091249065071,5.983545250560957,70.86761406133134,76.85115931189229,9.536275243081525,4.973821989528796,8.638743455497382,86.38743455497382,EKA19,Troms - Romsa (-2019),2619.0,75.67773959526536,9.278350515463918,84.95609011072929,6.643757159221077,8.400152730049637
Troms - Romsa ( - 2019),19,2016,19,19,Troms - Romsa (-2019),2692.0,1899.0,70.54234769687965,7.392273402674592,68.23922734026746,75.63150074294205,9.583952451708768,4.86627043090639,9.918276374442794,85.21545319465082,EKA19,Troms - Romsa (-2019),2620.0,74.61832061068702,9.31297709923664,83.93129770992367,6.8320610687022905,9.236641221374047
Troms - Romsa ( - 2019),19,2017,19,19,Troms - Romsa (-2019),2720.0,1907.0,70.11029411764706,9.375,66.50735294117646,75.88235294117646,9.558823529411764,5.257352941176471,9.301470588235293,85.44117647058823,EKA19,Troms - Romsa (-2019),2666.0,74.56864216054014,9.264816204051012,83.83345836459115,7.351837959489872,8.81470367591898
Troms - Romsa ( - 2019),19,2018,19,19,Troms - Romsa (-2019),2744.0,1926.0,70.18950437317784,11.18804664723032,63.84839650145773,75.03644314868805,9.693877551020408,5.174927113702624,10.09475218658892,84.73032069970844,EKA19,Troms - Romsa (-2019),2679.0,73.60955580440462,9.40649496080627,83.0160507652109,7.316162747293767,9.667786487495334
Troms - Romsa ( - 2019),19,2019,19,19,Troms - Romsa (-2019),2775.0,1961.0,70.66666666666667,13.405405405405405,60.86486486486486,74.27027027027026,10.91891891891892,4.54054054054054,10.27027027027027,85.18918918918918,EKA19,Troms - Romsa (-2019),2703.0,72.99297077321495,10.543840177580465,83.53681095079541,6.326304106548279,10.136884942656307
Finnmark - Finnmárku ( - 2019),20,2007,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2008,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2009,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2010,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2011,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2012,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2013,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2014,20,,,,,,,,,,,,,,,,,,,,
Finnmark - Finnmárku ( - 2019),20,2015,20,20,Finnmark - Finnmárku (-2019),1502.0,1110.0,73.90146471371504,4.92676431424767,68.44207723035952,73.36884154460719,11.318242343541945,5.725699067909454,9.587217043941411,84.68708388814915,EKA20,Finnmark Finnmárk (-2019),1527.0,71.25081859855926,10.870988867059594,82.12180746561886,8.120497707924033,9.757694826457106
